box,year,Clutch_size,ld,average_temperature_laying,average_temperature_per1,average_temperature_per2,average_temperature_per3,average_temperature_per4,Num_fledglings,Num_chicks,num_neighbors,Mother
CP29,1986,6,131,10.25,11.35333333,11.16875,12.85,15.46875,4,6,5,A725181
EX79,1984,6,142,11.575,10.8625,14.65,16.7875,13.7875,6,6,4,A725199
EX79,1985,7,122,9.271428571,10.78846154,12.56875,13.1,11.10625,7,7,7,A725199
O39,1983,10,126,10.245,10.45714286,12.50625,14.65625,13.4875,10,10,8,A725282
O63,1983,10,122,9.99,10.23157895,13.3,14.24375,14.09375,10,10,3,A725344
O34,1983,9,115,9.255555556,10.19230769,10.2875,10.725,14.225,9,9,7,A725358
O35,1984,8,118,10.25625,9.08125,11.1375,10.75,13.625,7,8,7,A725358
O34,1985,9,111,6.261111111,9.1,11.58125,12.74375,13.29375,8,9,4,A725358
O38,1983,10,120,10.285,9.784615385,10.41875,13.3,14.24375,9,9,4,A725359
O36,1984,11,121,9.236363636,10.19666667,10.89375,12.49375,15.09375,10,11,7,A725359
O67,1983,7,127,9.778571429,10.62142857,11.66875,14.675,12.8875,7,7,6,A725394
O79,1983,8,128,9.525,10.61538462,11.91875,14.725,13.03125,8,8,7,A725395
EX62G,1983,9,123,10.27222222,10.39375,11.66875,14.675,12.8875,9,9,2,A725632
O16,1984,7,126,8.392857143,10.04705882,10.75,13.625,16.325,4,7,8,A725734
EX7,1984,9,133,9.572222222,10.925,12.2,14.875,16.2,0,NA,5,A725739
C48,1983,9,126,10.25555556,10.42,12.50625,14.65625,13.4875,5,5,3,A725775
EX42A,1983,11,120,10.01818182,10.00333333,11.28125,14.6875,12.8125,8,11,4,A725950
O19,1984,9,121,9.466666667,9.817647059,10.89375,12.49375,15.09375,8,9,5,A725970
MP78,1965,9,126,13.19444444,12.15769231,10.5875,13.8625,15.89375,0,9,4,AA57794
C39,1966,9,121,10.73333333,NA,NA,NA,NA,0,0,4,AB56508
C59,1965,10,112,8.035,12.56666667,11.26875,11.23125,12.46875,0,NA,3,AH57281
C40,1967,10,108,7.7,9.460714286,11.7875,10.275,11.975,0,10,5,AH57281
C141,1968,11,115,10.02727273,NA,NA,NA,NA,8,11,4,AH57281
C58,1970,9,123,13.50555556,NA,NA,NA,NA,5,9,6,AH57281
MP64,1966,11,113,11.96363636,9.953846154,11.70625,10.84375,14.375,10,11,3,AH57793
