box,year,Mother,average_temperature_per1,average_temperature_per2,average_temperature_per3,average_temperature_per4,average_temperature_laying,Hf2_r,peak_food,mismatch
MP44,1985,B067860,9.196153846,11.4125,12.68125,13.44375,6.716666667,156,143,13
MP47,1985,B067862,9.196153846,11.4125,12.68125,13.44375,6.885,156,143,13
SW56,1985,B067864,9.185714286,11.58125,12.74375,13.29375,6.885,156,144,12
W101,1987,B067864,9.557692308,8.61875,10.975,12.83125,13.215,151,143,8
P6,1985,B067946,10.49666667,12.21875,12.8875,11.625,7.783333333,156,149,7
P11,1985,B067949,10.728125,12.74375,13.29375,10.81875,8.305,156,152,4
P7,1986,B067949,11.303125,11.2625,13.6875,14.8875,10.505,164,161,3
P6,1987,B067949,9.557692308,8.61875,10.975,12.83125,12.96818182,151,143,8
P7,1988,B067949,12.575,10.95625,11.9375,12.2125,7.75,151,147,4
SW80A,1985,B067950,11.41785714,12.9375,12.29375,11.2125,9.928571429,156,155,1
MP49,1985,B067995,10.178125,11.93125,13.03125,11.93125,7.05,156,148,8
SW51,1985,B067996,11.25333333,12.9375,12.29375,11.2125,10.075,156,155,1
C19,1985,B068229,10.72,12.56875,13.1,11.10625,8.01,156,150,6
C118,1987,B068229,10.38461538,8.65625,10.275,12.9375,12.745,151,141,10
C41,1985,B068250,11.73333333,13.03125,11.93125,11.39375,9.494444444,156,156,0
C141,1986,B068250,10.64583333,12.01875,11.65,11.08125,10.5625,164,148,16
EX68,1984,B068280,12.76923077,15.44375,15.44375,13.7125,10.71111111,160,172,-12
EX30,1984,B068282,12.29615385,15.09375,15.71875,13.9125,10.75714286,160,171,-11
EX63,1984,B068283,11.7975,15.09375,15.71875,13.9125,10.05714286,160,171,-11
MP41,1987,B068366,10.84583333,9.05625,9.3625,12.95,12.525,151,139,12
B18,1986,B068381,11.6,11.2375,11.98125,15.90625,10.25,164,159,5
B16,1987,B068381,9.953846154,8.68125,10.65625,12.99375,13.65625,151,142,9
B226,1986,B068394,11.07692308,11.4,11.375,15.16875,11.04375,164,155,9
C121,1984,B068555,9.4,10.91875,12.2,14.875,10.12,160,154,6
SW104,1984,B068556,10.96,10.44375,12.95625,15.44375,9.00625,160,156,4
SW20,1984,B068565,11.02,13.50625,15.68125,15.325,9.572222222,160,165,-5
MP90,1984,B068581,10.39285714,10.75,13.625,16.325,8.311111111,160,158,2
B33,1985,B068597,9.0575,11.7875,12.95625,12.48125,6.325,156,146,10
B136,1986,B068597,11.41923077,11.4875,10.925,15.78125,10.615,164,157,7
B134,1987,B068597,9.507142857,8.86875,11.2625,12.9375,13.215,151,144,7
B168,1984,B068600,10.3625,11.53125,14.65,16.7875,8.46,160,160,0
B164,1985,B068600,10.33125,12.21875,12.8875,11.625,7.305,156,149,7
B52,1984,B068653,9.213888889,11.1375,10.75,13.625,11.15,160,150,10
B53,1985,B068653,8.825,11.4125,12.68125,13.44375,6.138888889,156,143,13
B151,1986,B068653,11.18928571,11.35,11.2625,13.6875,10.87777778,164,153,11
B78,1987,B068653,10.84583333,9.05625,9.3625,12.95,12.485,151,139,12
B211,1988,B068653,12.85357143,10.6375,11.9,12.13125,9.472222222,151,148,3
SW119,1984,B068654,10.01666667,10.75,13.625,16.325,8.7,160,158,2
SW118,1985,B068654,9.708695652,12.56875,13.1,11.10625,6,156,150,6
SW121,1988,B068654,12.21944444,10.9125,12.1125,12.05,8.928571429,151,150,1
SW104A,1984,B068656,10.24772727,12.2,14.875,16.2,8.7,160,162,-2
SW103,1985,B068656,12.23666667,13.1,11.10625,11.70625,9.585,156,158,-2
SW105,1986,B068656,11.265625,11.4875,10.925,15.78125,10.865,164,157,7
B94,1984,B068657,10.44666667,11.53125,14.65,16.7875,9.091666667,160,160,0
B49,1984,B068658,9.285,10.7875,11.7375,15.125,10.075,160,153,7
B64,1985,B068658,9.529411765,11.7875,12.95625,12.48125,6.64,156,146,10
B109,1984,B068661,10.37083333,11.225,14.1375,16.89375,9.116666667,160,159,1
B143,1984,B068662,10.68666667,12.2,14.875,16.2,9.378571429,160,162,-2
B147,1985,B068662,11.24615385,12.95625,12.48125,11.34375,9.494444444,156,154,2
W27,1984,B069042,9.68,10.91875,12.2,14.875,9.283333333,160,154,6
W26,1985,B069042,9.834375,11.94375,12.9375,12.29375,7.018181818,156,147,9
W25,1986,B069042,11.57916667,10.925,15.78125,15.6875,11.19666667,164,165,-1
W25,1988,B069042,12.07692308,11.55625,12.175,12.7875,10.79583333,151,152,-1
EX13,1984,B069051,9.447619048,10.91875,12.2,14.875,10.915,160,154,6
EX13,1985,B069051,8.825,11.4125,12.68125,13.44375,7.3625,156,143,13
W98,1984,B069132,9.402941176,10.91875,12.2,14.875,9.591666667,160,154,6
EX14B,1984,B069189,10.49230769,10.75,13.625,16.325,8.5625,160,158,2
W66,1984,B069199,10.43571429,10.44375,12.95625,15.44375,8.3625,160,156,4
W56,1985,B069199,12.47307692,12.8875,11.625,11.38125,9.925,156,157,-1
W51,1984,B069236,10.19666667,10.89375,12.49375,15.09375,8.08,160,155,5
W4B,1984,B069264,10.259375,10.44375,12.95625,15.44375,8.635714286,160,156,4
EX35,1984,B069386,10.44666667,11.53125,14.65,16.7875,8.5625,160,160,0
EX35A,1985,B069386,9.834375,11.94375,12.9375,12.29375,7.018181818,156,147,9
EX17,1984,B069387,10.43214286,11.53125,14.65,16.7875,8.731818182,160,160,0
EX61,1984,B069478,10.04705882,10.75,13.625,16.325,7.92,160,158,2
EX60,1985,B069478,9.496875,11.7875,12.95625,12.48125,6.816666667,156,146,10
EX59,1986,B069478,11.13055556,11.2375,11.98125,15.90625,11.05625,164,159,5
EX58,1987,B069478,9.557692308,8.61875,10.975,12.83125,13.215,151,143,8
EX60,1984,B069479,10.56,11.7375,15.125,16.4625,9.307142857,160,161,-1
W16,1984,B069487,10.68666667,12.2,14.875,16.2,10.0875,160,162,-2
C35,1985,B069557,12.43214286,13.44375,10.7,11.79375,9.773076923,156,159,-3
C37,1985,B069592,11.42916667,12.95625,12.48125,11.34375,9.35,156,154,2
C56,1986,B069592,10.9625,11.3875,11.16875,12.85,10.5625,164,152,12
C24,1984,B069890,9.990625,10.89375,12.49375,15.09375,8.491666667,160,155,5
C120,1985,B069890,10.85,12.74375,13.29375,10.81875,9.55,156,152,4
MP93,1984,B069976,10.39285714,10.75,13.625,16.325,8.311111111,160,158,2
MP95,1985,B069976,9.660714286,11.7875,12.95625,12.48125,7.081818182,156,146,10
B122,1986,B069976,11.03611111,11.2625,13.6875,14.8875,11.07142857,164,161,3
MP96,1987,B069976,9.239285714,8.80625,11.98125,12.5625,12.785,151,145,6
MP2,1988,B069976,12.83461538,10.5,12.19375,11.9625,10.95,151,149,2
EX62,1965,BA01191,11.66666667,10.5875,13.8625,15.89375,13.11818182,148,156,-8
B212,1965,BA01624,11.69047619,11.3,10.69375,14.4625,7.104545455,148,149,-1
B216,1966,BA01624,11.34117647,13.575,16.80625,15.10625,9.278571429,154,159,-5
B99,1965,BA01686,12.70357143,11.23125,12.46875,15.85,11.145,148,153,-5
B113,1965,BA01767,12.97692308,11.0625,10.7125,12.8875,8.959090909,148,146,2
B53,1965,BA02127,11.071875,12.5125,11.94375,11.525,7.355555556,148,143,5
C57,1965,BA02139,11.73214286,12.5125,11.94375,11.525,7.595,148,143,5
O95,1967,BA02187,10.97647059,11.30625,13.66875,12.95,7.785714286,156,153,3
O104,1968,BA02190,8.647368421,12.56875,14.175,15.1,8.885714286,157,154,3
O105,1969,BA02190,11.41923077,11.68125,11.63125,16.19375,12.4,158,155,3
SW17,1965,BA11056,11.05,10.9625,14.71875,15.5875,14.07222222,148,158,-10
O82,1965,BA11071,12.56388889,10.69375,14.4625,15.6875,11.145,148,157,-9
O83,1966,BA11071,11.28928571,12.925,16.525,15.38125,9.99,154,158,-4
EX49A,1966,BA12254,10.934375,10.89375,14.975,17.3375,10.16875,154,154,0
SW67,1966,BA12715,11.57857143,12.23125,16.3375,15.725,9.695,154,157,-3
SW66,1967,BA12715,10.28846154,11.6125,13.46875,13.65625,11.52,156,155,1
EX62H,1965,BA12743,10.83928571,11.9125,15.46875,15.2625,14.58571429,148,160,-12
MP88,1965,BA12804,12.675,11.825,11.9125,15.46875,11.28636364,148,152,-4
SW80A,1965,BA12836,12.60384615,11.9,10.9625,14.71875,10.64444444,148,150,-2
SW80A,1966,BA12836,11.09666667,10.89375,14.975,17.3375,9.3125,154,154,0
SW86,1967,BA12836,10.70384615,12.84375,12.73125,14.6625,11.72222222,156,159,-3
