"","box","year","April_lay_date","Clutch_size","Mother"
"473","B191",1965,19,6,"BA47840"
"474","B85",1966,32,7,"BA47840"
"475","B196",1965,21,10,"BA47845"
"476","B217",1966,29,11,"BA47845"
"477","B14",1967,30,7,"BA47845"
"478","C146",1965,37,8,"BA47851"
"479","SW77",1965,28,9,"BA47854"
"480","B7",1966,36,9,"BA47860"
"481","MP77",1965,26,9,"BA47874"
"482","MP76",1966,40,8,"BA47874"
"483","O71",1965,29,8,"BA47885"
"484","O105",1965,34,8,"BA47901"
"485","EX14B",1965,22,8,"BA47914"
"486","SW36",1965,32,8,"BA47940"
"487","MP11",1965,40,7,"BA47969"
"488","SW66",1965,40,8,"BA47970"
"489","SW79",1965,28,5,"BA47971"
"490","SW79",1966,35,6,"BA47971"
"491","SW82",1967,31,6,"BA47971"
"492","SW80A",1968,26,6,"BA47971"
"493","SW79",1969,32,7,"BA47971"
"494","B170",1965,34,8,"BA47973"
"495","SW6",1965,33,7,"BA47974"
"496","C44",1965,33,9,"BA47975"
"497","SW45",1965,34,7,"BA47976"
"498","SW72",1965,33,7,"BA47977"
"499","SW64",1966,35,9,"BA47977"
"500","SW88",1965,33,9,"BA47978"
"501","MP79",1965,36,7,"BA47979"
"502","MP83",1966,32,10,"BA47979"
"503","MP84",1967,28,9,"BA47979"
"504","MP25",1968,42,5,"BA47979"
"505","MP85",1969,43,9,"BA47979"
"506","B36",1965,32,9,"BA47980"
"507","C52",1965,34,9,"BA47981"
"508","C7",1965,26,10,"BA47982"
"509","SW40",1965,35,10,"BA47983"
"510","SW21",1965,30,9,"BA47984"
"511","SW21",1967,27,9,"BA47984"
"512","SW20",1968,26,9,"BA47984"
"513","SW20",1969,32,9,"BA47984"
"514","SW51",1965,37,8,"BA47985"
"515","SW107",1966,34,8,"BA47986"
"516","SW52",1965,42,8,"BA47987"
"517","SW48",1966,35,7,"BA47987"
"518","C21",1965,31,8,"BA47988"
"519","B229",1965,34,8,"BA47989"
"520","B24",1966,40,7,"BA47989"
"521","C110",1965,33,9,"BA47990"
"522","C18",1965,37,8,"BA47991"
"523","SW121",1966,46,5,"BA47994"
"524","SW115",1968,35,6,"BA47994"
"525","SW115",1969,45,6,"BA47994"
"526","B65",1965,30,5,"BA47996"
"527","EX38A",1965,26,11,"BA50703"
"528","EX39B",1966,28,10,"BA50703"
"529","EX39A",1967,18,9,"BA50703"
"530","O39",1965,27,9,"BA50732"
"531","O72",1965,26,7,"BA57445"
"532","EX18A",1966,40,10,"BA64002"
"533","W71",1967,23,11,"BA64002"
"534","MP7",1965,30,5,"BA64007"
"535","MP4",1966,30,9,"BA64007"
"536","B228",1967,43,8,"BA64007"
"537","EX35",1965,22,6,"BA64016"
"538","EX25",1966,37,7,"BA64024"
"539","B127",1965,24,9,"BA64033"
"540","B113",1966,30,10,"BA64033"
"541","B121",1965,29,10,"BA64039"
"542","W59",1965,39,9,"BA64055"
"543","W43",1966,27,8,"BA64055"
"544","O4",1965,33,10,"BA64066"
"545","O58",1965,34,9,"BA64079"
"546","C123",1966,31,11,"BA64080"
"547","O100",1965,36,7,"BA64345"
"548","B26",1965,33,8,"BA64501"
"549","B62A",1965,25,8,"BA64508"
"550","C112",1965,27,8,"BA64526"
"551","O25",1965,22,8,"BA64534"
"552","B36",1966,31,10,"BA64555"
"553","O85",1965,25,10,"BA64569"
"554","SW31",1965,29,10,"BA64577"
"555","C151",1965,35,10,"BA64653"
"556","O30A",1965,28,9,"BA64700"
"557","EX63",1965,35,8,"BA64716"
"558","O86",1965,25,10,"BA64724"
"559","O106",1966,36,6,"BA64724"
"560","O87",1965,28,11,"BA64805"
"561","O86",1966,45,9,"BA64805"
"562","CP41",1965,37,8,"BA64841"
"563","B47",1965,30,8,"BA64898"
"564","B220",1966,33,8,"BA64898"
"565","B143",1967,26,8,"BA64898"
"566","B35",1968,25,8,"BA64898"
"567","B151",1969,30,8,"BA64898"
"568","B179",1965,28,9,"BA64950"
"569","B80A",1965,34,8,"BA64960"
"570","B81",1965,26,9,"BA64978"
"571","EX55",1965,23,10,"BA66079"
"572","SW57",1966,37,9,"BA66196"
"573","B22",1966,30,9,"BA66198"
"574","B121",1967,27,8,"BA66198"
"575","B227",1966,30,10,"BA66199"
"576","EX34",1966,38,9,"BA66201"
"577","EX72",1966,33,11,"BA66202"
"578","O6",1966,49,6,"BA66203"
"579","O63",1967,22,9,"BA66203"
"580","O71",1966,32,6,"BA66204"
"581","W3",1966,39,3,"BA66205"
"582","W46",1966,39,8,"BA66206"
"583","W47",1967,27,8,"BA66206"
"584","W105",1966,41,10,"BA66207"
"585","CP29",1966,34,9,"BA66209"
"586","EX10",1966,36,10,"BA66210"
"587","EX11",1967,23,8,"BA66210"
"588","EX10",1968,26,9,"BA66210"
"589","EX39",1966,33,10,"BA66211"
"590","O42",1966,40,8,"BA66212"
"591","CP40",1966,34,7,"BA66236"
"592","CP40",1967,25,7,"BA66236"
"593","CP41",1968,25,7,"BA66236"
"594","CP39",1969,37,8,"BA66236"
"595","EX11",1966,37,8,"BA66249"
"596","O75",1966,37,7,"BA66250"
"597","EX42A",1967,26,9,"BA66264"
"598","SW104",1967,39,6,"BA66310"
"599","C45",1967,34,7,"BA66378"
"600","MP71",1973,23,7,"BA66414"
"601","MP71",1974,28,7,"BA66414"
"602","MP65",1975,31,8,"BA66414"
"603","MP84",1973,24,11,"BA66418"
"604","MP57",1973,34,7,"BA66432"
"605","O50",1967,28,9,"BA66500"
"606","SW4",1967,33,6,"BA66519"
"607","B165",1967,29,10,"BA66533"
"608","B161",1968,23,10,"BA66533"
"609","B143",1969,24,7,"BA66533"
"610","SW6",1966,48,7,"BA66535"
"611","B119",1966,38,8,"BA66537"
"612","B93",1967,25,10,"BA66537"
"613","MP89",1968,25,11,"BA66537"
"614","B192",1969,35,11,"BA66537"
"615","MP79",1967,32,6,"BA66580"
"616","MP55",1969,37,7,"BA66580"
"617","B190",1967,28,8,"BA66690"
"618","B189",1968,24,10,"BA66690"
"619","B226",1969,30,8,"BA66690"
"620","EX73",1968,31,9,"BA66800"
"621","EX75",1969,42,9,"BA66800"
"622","O49",1967,32,10,"BA66843"
"623","O58",1968,27,10,"BA66843"
"624","MP51",1966,27,8,"BA72776"
"625","B150",1966,46,7,"BA72777"
"626","B84",1966,44,8,"BA72778"
"627","B214",1967,26,9,"BA72778"
"628","B214",1968,21,9,"BA72778"
"629","B214",1969,20,9,"BA72778"
"630","B213",1970,23,11,"BA72778"
"631","MP11",1966,30,9,"BA72779"
"632","MP37",1966,26,9,"BA72780"
"633","SW31",1966,39,4,"BA72781"
"634","SW29",1967,33,6,"BA72781"
"635","SW31",1968,26,7,"BA72781"
"636","SW31",1969,34,7,"BA72781"
"637","C34A",1966,32,10,"BA72782"
"638","B26",1966,36,8,"BA72783"
"639","B30",1966,33,10,"BA72784"
"640","B99",1967,32,11,"BA72784"
"641","B12",1968,49,8,"BA72784"
"642","B214",1966,37,8,"BA72785"
"643","B151",1967,30,8,"BA72785"
"644","B94",1966,33,8,"BA72786"
"645","B93",1966,31,9,"BA72787"
"646","B133",1966,35,10,"BA72788"
"647","B65",1966,37,11,"BA72789"
"648","B170",1967,32,10,"BA72789"
"649","B112",1968,25,11,"BA72789"
"650","B13",1969,26,10,"BA72789"
"651","B62A",1966,40,7,"BA72790"
"652","B86",1966,33,8,"BA72791"
"653","B196",1967,29,8,"BA72791"
"654","MP60",1966,27,10,"BA72792"
"655","SW76",1966,41,8,"BA72793"
"656","C34",1966,33,8,"BA72794"
"657","B77",1966,36,9,"BA72796"
"658","B84",1967,29,9,"BA72796"
"659","B8",1966,37,7,"BA72797"
"660","B2",1967,32,8,"BA72797"
"661","B11",1968,28,8,"BA72797"
"662","B156",1966,42,6,"BA72798"
"663","SW36",1966,39,8,"BA72800"
"664","P11",1984,32,6,"BA73158"
"665","B217",1984,37,7,"BA73166"
"666","B196",1985,22,10,"BA73166"
"667","O52",1984,37,7,"BA73178"
"668","O87",1985,20,12,"BA73178"
"669","MP69",1966,24,7,"BC13047"
"670","MP64",1967,20,7,"BC13047"
"671","MP64",1968,21,6,"BC13047"
"672","MP64",1969,23,8,"BC13047"
"673","B20",1966,36,6,"BC13052"
"674","B46",1966,32,9,"BC13114"
"675","B60",1967,29,10,"BC13114"
"676","B7",1967,30,7,"BC13123"
"677","EX5",1966,35,7,"BC13124"
"678","B189",1967,38,8,"BC13145"
"679","SW25",1966,36,6,"BC13190"
"680","SW25",1967,34,8,"BC13190"
"681","SW42",1968,34,6,"BC13190"
"682","SW25",1969,36,7,"BC13190"
"683","B70",1966,35,10,"BC13241"
"684","MP55",1966,28,9,"BC13258"
"685","CP5",1966,31,8,"BC13280"
"686","B179",1966,30,7,"BC13283"
"687","SW75",1967,33,7,"BC13283"
"688","B213",1968,21,8,"BC13283"
"689","SW102",1966,46,5,"BC13384"
"690","SW106",1967,39,7,"BC13384"
"691","EX49B",1968,26,6,"BC13395"
"692","EX49B",1969,35,10,"BC13395"
"693","EX30",1966,35,7,"BC13398"
"694","O63",1966,35,9,"BC13406"
"695","O67",1967,24,10,"BC13406"
"696","C32",1966,36,10,"BC13408"
"697","SW108",1971,34,6,"BC13412"
"698","O95",1966,42,8,"BC13442"
"699","EX14B",1966,33,7,"BC13508"
"700","EX67",1966,31,11,"BC13532"
"701","SW131",1968,28,6,"BC13626"
"702","EX63",1966,33,9,"BC13633"
"703","EX27",1966,33,8,"BC13646"
"704","O100",1966,44,8,"BC13650"
"705","EX2",1966,31,10,"BC13652"
"706","EX4",1967,25,6,"BC13652"
"707","EX38",1968,22,10,"BC13652"
"708","EX32",1966,33,9,"BC13658"
"709","CP41",1966,35,5,"BC13661"
"710","SW119",1966,38,11,"BC13671"
"711","SW40",1966,41,7,"BC13674"
"712","SW32",1967,33,10,"BC13674"
"713","SW105",1968,35,7,"BC13674"
"714","O69",1966,34,8,"BC13677"
"715","EX39B",1967,23,11,"BC13707"
"716","EX43C",1969,31,10,"BC13707"
"717","EX62H",1966,53,6,"BC13746"
"718","EX1",1966,35,10,"BC13765"
"719","SW33",1966,38,8,"BC13794"
"720","W14",1966,39,9,"BC13813"
"721","W91",1967,27,8,"BC13819"
"722","W91",1968,30,8,"BC13819"
"723","O34",1966,32,9,"BC13841"
"724","O30A",1967,26,10,"BC13841"
"725","O30A",1968,25,10,"BC13841"
"726","O27",1969,29,9,"BC13841"
"727","C162",1966,31,8,"BC13870"
"728","C21",1966,31,10,"BC13969"
"729","MP74",1966,34,8,"BC43128"
"730","O95",1976,40,10,"BC43961"
"731","B79",1972,35,8,"BC43963"
"732","B2",1973,38,9,"BC43965"
"733","CP28",1972,31,11,"BC43969"
"734","B217",1973,22,9,"BC43978"
"735","B67",1972,34,6,"BC43981"
"736","B165",1973,31,8,"BC43981"
"737","MP19",1972,20,9,"BC43986"
"738","B105",1972,36,8,"BC43989"
"739","EX44",1972,27,9,"BC43998"
"740","EX39C",1974,30,7,"BC43998"
"741","EX8A",1972,25,9,"BC43999"
"742","W32",1973,29,9,"BC44000"
"743","EX29",1968,31,9,"BC76402"
"744","EX49C",1969,35,9,"BC76402"
"745","EX79",1969,37,8,"BC76405"
"746","EX20",1970,29,11,"BC76414"
"747","SW67",1970,34,9,"BC76416"
"748","CP20",1970,27,10,"BC76430"
"749","SW11",1971,38,10,"BC84471"
"750","O71",1967,27,8,"BC85025"
"751","O39",1967,28,7,"BC85027"
"752","O52",1967,30,8,"BC85028"
"753","O19",1967,25,9,"BC85029"
"754","O69",1967,31,9,"BC85035"
"755","O67",1968,25,9,"BC85035"
"756","O86",1967,33,8,"BC85036"
"757","EX2",1967,23,8,"BC85038"
"758","W23",1967,27,10,"BC85043"
"759","W22",1968,23,12,"BC85043"
"760","EX26",1967,24,8,"BC85044"
"761","EX57",1967,19,9,"BC85046"
"762","EX33",1967,26,9,"BC85048"
"763","EX8",1967,27,10,"BC85049"
"764","EX9",1968,31,11,"BC85049"
"765","EX9",1969,37,11,"BC85049"
"766","EX45",1968,26,9,"BC85050"
"767","EX62",1967,25,8,"BC85051"
"768","EX59",1968,26,8,"BC85051"
"769","EX73",1967,26,9,"BC85052"
"770","CP11",1967,29,11,"BC85053"
"771","W2",1967,28,8,"BC85054"
"772","CP7",1968,26,7,"BC85055"
"773","CP3",1969,30,9,"BC85055"
"774","W85",1967,25,10,"BC85056"
"775","W77",1968,23,9,"BC85056"
"776","CP16",1967,26,9,"BC85057"
"777","W4A",1969,31,7,"BC85057"
