box,year,April_lay_date,April_hatch_date,Clutch_size,Mother
W79,2000,31,51,9,K604644
W94,2001,27,48,9,K604644
EX53,2000,21,43,8,K604663
EX53,2002,8,35,9,K604663
CP40,2000,21,43,8,K604664
W25,2000,21,44,11,K604665
W36,2001,27,50,10,K604665
W27,2002,12,41,12,K604665
W31,2000,26,46,8,K604667
W35,2001,28,51,9,K604667
W68,2000,24,45,8,K604669
W67,2001,25,49,8,K604669
W69,2002,9,28,9,K604669
EX62H,2000,24,45,8,K604671
EX36,2000,24,46,8,K604672
EX37,2001,29,50,8,K604672
EX36,2002,10,31,8,K604672
W73,2001,28,51,7,K604674
W73,2002,15,35,8,K604674
W71,2003,23,42,7,K604674
EX49A,2000,30,49,8,K604676
EX48,2000,29,48,7,K604677
CP42A,2000,28,48,4,K604678
CP15,2000,25,47,8,K604679
CP11,2000,32,50,7,K604680
W54,2000,33,52,7,K604682
W38,2001,19,48,9,K604682
W37,2002,9,34,11,K604682
W69,2000,35,54,9,K604696
MP52,1997,14,34,7,K604702
SW26,1997,12,33,9,K604703
O85,1997,13,36,9,K604704
SW130,1997,14,38,10,K604706
O73,1997,14,39,10,K604707
O74,1998,14,40,10,K604707
O67,1997,14,37,8,K604709
O25,1997,12,34,7,K604712
O45,1997,22,43,10,K604717
O59,1997,19,44,7,K604724
O13,1997,26,47,9,K604726
O103,1998,30,49,5,K604762
O113,1999,27,44,6,K604762
O93,2001,42,64,7,K604762
O84,1998,26,46,7,K604782
EX58,1999,28,47,8,K604784
EX58,2000,26,47,9,K604784
EX60,2001,36,52,7,K604784
EX43D,1999,25,46,10,K604821
O50,1999,35,54,7,K604863
O52,1999,31,51,10,K604951
O29,2000,31,51,8,K604953
EX34A,2007,19,39,10,K639119
EX8A,1977,27,49,11,KC96203
EX84,1978,39,61,12,KC96203
CP27,1977,32,54,9,KC96204
W46,1977,30,53,10,KC96205
EX26,1977,34,54,8,KC96207
W64,1977,34,54,7,KC96208
W75,1977,31,53,10,KC96209
W64A,1977,31,51,7,KC96210
CP43,1977,25,53,10,KC96212
W59,1977,38,60,8,KC96217
EX62C,1977,33,52,7,KC96219
W35,1977,38,60,8,KC96221
EX3,1979,28,50,10,KC96221
EX3,1980,23,47,11,KC96221
EX3,1982,24,47,10,KC96221
EX44,1979,24,49,11,KC96230
W27,1978,32,52,8,KC96234
W27,1979,31,53,9,KC96234
W14,1978,32,52,7,KC96235
W78,1978,36,60,10,KC96245
EX75A,1978,41,61,8,KC96247
EX92,1979,44,66,9,KC96247
W37,1978,39,60,8,KC96249
SW86,1977,26,51,12,KC96550
O38,1977,33,53,7,KC96553
O63,1977,31,52,6,KC96554
SW43,1977,29,53,10,KC96596
SW42,1978,27,55,13,KC96596
O57,1977,29,55,12,KC96638
O76,1977,33,55,8,KC96740
O76,1978,28,52,12,KC96740
O76,1979,29,55,12,KC96740
SW118,1977,33,55,7,KC96742
SW37,1977,32,55,8,KC96743
SW31,1978,34,57,11,KC96743
SW36,1979,29,58,12,KC96743
SW125,1977,34,55,6,KC96763
SW123,1978,39,60,7,KC96763
O65,1977,30,55,6,KC96791
O73,1978,37,60,10,KC96791
O73,1979,39,63,12,KC96791
O73,1980,22,49,11,KC96791
O79,1977,37,57,7,KC96793
O75A,1978,35,56,9,KC96793
SW34,1977,36,57,7,KC96861
SW31,1977,40,60,7,KC96928
SW56,1977,42,61,7,KC97000
MP7,1978,29,54,13,KJ44137
EX61,1977,31,54,7,KJ71660
O12,1978,28,51,10,KJ71664
EX36,1977,29,50,7,KJ71667
O30,1977,35,54,5,KJ71679
W60,1977,32,52,8,KJ71684
CP22,1977,33,53,8,KJ71689
EX64,1977,40,60,8,KJ71697
EX60,1978,37,56,8,KJ71697
O4,1977,35,54,6,KJ71701
O42,1978,38,65,2,KJ71706
O27A,1979,46,59,1,KJ71706
O6,1977,36,58,7,KJ71711
O7,1978,28,54,11,KJ71711
EX1,1978,27,50,11,KJ71756
B104,1978,39,59,8,KJ73110
O54,1978,36,59,11,KJ73116
O66,1978,32,54,8,KJ73117
O50,1979,42,63,9,KJ73117
O87,1980,21,44,10,KJ73117
O68,1978,34,54,7,KJ73118
O59,1979,34,57,10,KJ73118
O3,1978,37,58,9,KJ73122
SW58,1978,39,58,7,KJ73123
O95,1978,38,56,8,KJ73124
O115,1979,39,60,8,KJ73124
O114,1980,22,45,9,KJ73124
O115,1981,29,52,9,KJ73124
O117,1982,26,45,7,KJ73124
SW130,1983,28,50,9,KJ73124
SW75,1978,42,63,9,KJ73127
SW117,1978,43,65,10,KJ73130
O85,1979,43,66,12,KJ73141
EX34,1979,24,47,9,KJ73148
EX34A,1980,21,44,11,KJ73148
W7,1978,52,71,7,KR81302
W7,1979,45,67,12,KR81302
B213,1979,43,65,10,KR81305
MP8,1979,28,53,12,KR81310
MP1,1980,19,44,13,KR81310
P10,1979,39,61,10,KR81312
CP6,1979,27,52,7,KR81317
CP4,1980,18,40,9,KR81317
CP36,1979,33,55,9,KR81319
CP27,1980,24,47,10,KR81319
CP5A,1979,38,58,7,KR81323
W33,1981,18,47,10,KR81323
CP9,1979,31,54,10,KR81340
MP2,1981,17,47,10,KR81340
O94,1979,41,64,9,KR81343
O109,1980,23,48,9,KR81343
SW120,1982,28,51,10,KR81343
O110,1983,38,59,6,KR81343
EX62F,1979,33,57,11,KR81344
W32,1979,41,64,11,KR81348
B27,1979,47,67,9,KR81452
B26,1980,27,47,8,KR81452
B27,1981,23,50,9,KR81452
EX90,1980,30,52,9,KR81459
EX71,1979,39,60,9,KR81466
EX72A,1980,29,54,11,KR81466
EX75,1979,28,55,11,KR81467
SW17,1979,26,55,12,KR81469
O6,1979,31,56,11,KR81470
O6,1980,20,46,12,KR81470
O8,1981,16,48,12,KR81470
O22,1979,40,61,8,KR81471
P22,1979,40,60,7,KR81472
O65,1979,43,62,9,KR81473
O63,1980,23,47,8,KR81473
O39,1979,43,62,7,KR81475
O20,1979,42,64,10,KR81476
SW134,1979,44,64,9,KR81478
SW132,1980,25,46,9,KR81478
SW10,1979,42,65,12,KR81481
SW116,1979,49,71,9,KR81483
SW113,1980,32,55,9,KR81483
O37,1979,43,63,9,KR81484
O50,1980,27,51,9,KR81484
O38,1981,31,53,9,KR81484
EX69,1980,27,49,10,KR81490
EX80,1981,23,44,7,KR81490
