box,year,April_lay_date,April_hatch_date,Clutch_size,Mother
B4,2000,28,48,8,K578021
B84,2000,26,48,8,K578023
B180,2002,14,35,8,K578023
B192,2000,33,53,9,K578024
B227,2002,20,41,10,K578024
B76,2000,34,52,8,K578026
B29,2001,42,61,8,K578026
MP9,2001,30,52,5,K578027
MP7,2002,15,33,8,K578027
B81,2001,21,40,7,K578028
B81,2002,7,31,10,K578028
B23,2001,29,52,10,K578029
MP74,2001,22,44,9,K578030
MP74,2002,6,31,11,K578030
MP73,2003,9,32,10,K578030
MP64,2001,25,47,8,K578032
B11,2001,30,48,6,K578033
MP95,2001,26,49,8,K578034
B194A,2002,6,31,10,K578034
MP41,2001,32,50,5,K578037
MP38,2002,14,32,9,K578037
MP34,2003,19,40,9,K578037
MP20,2001,28,51,10,K578040
MP45,2001,28,52,6,K578042
MP46,2002,18,38,9,K578042
MP57,2001,40,54,8,K578043
MP34A,2002,16,41,10,K578043
B13,2001,31,51,3,K578044
B92,2001,33,54,11,K578046
B211,2001,32,53,8,K578049
B212,2002,9,31,9,K578049
B117,2002,18,39,9,K578050
MP13,2001,37,56,5,K578051
B2,2001,35,56,9,K578052
B76,2003,27,47,6,K578053
MP2,2001,34,60,8,K578055
B24,2002,15,36,9,K578055
B189,2001,37,55,8,K578056
B189,2002,16,35,8,K578056
B89,2003,25,47,10,K578056
B131,2002,18,40,9,K578058
MP42,2001,30,56,10,K578060
B214,2001,42,59,5,K578061
B208,2002,17,36,8,K578061
B225,2001,41,59,5,K578062
B86,2001,40,60,9,K578063
B86,2002,17,37,10,K578063
B139,2002,20,40,8,K578064
MP68,2001,40,60,8,K578068
MP78,2002,19,45,9,K578068
MP47,2007,13,35,10,K578071
B229,2007,21,40,8,K578082
B98,2007,20,39,9,K578092
B20,2007,20,40,9,K578096
B119,2009,14,37,9,K578096
B20,2010,19,41,8,K578096
W64B,1998,12,37,10,K578101
W80,1999,10,38,12,K578101
W80,2000,24,50,14,K578101
W37,1998,13,39,8,K578102
EX11,1998,18,42,11,K578104
EX11,1999,33,54,10,K578104
W35,1998,25,45,7,K578105
EX51C,1998,26,46,8,K578106
CP22,1999,16,40,8,K578106
CP25,1998,26,46,7,K578107
EX51D,2000,37,60,9,K578107
EX26,1998,28,46,7,K578108
EX26,1999,27,45,7,K578108
EX26,2000,27,47,8,K578108
EX26,2001,39,56,6,K578108
CP42A,1998,24,48,9,K578109
EX62B,1998,30,49,9,K578112
EX16,1998,28,50,9,K578117
W10,1998,29,49,9,K578120
W37,2000,21,44,10,K578120
W49,2001,27,51,9,K578120
W49,2002,8,32,9,K578120
CP33,1998,27,48,7,K578123
W11,1998,31,52,10,K578124
W43,1999,26,46,9,K578126
W78,1998,30,50,8,K578127
W79,1999,34,52,8,K578127
W64A,2000,28,47,8,K578127
W65,2001,31,51,8,K578127
W64A,2002,19,39,8,K578127
EX17,1998,28,51,10,K578134
W85,1999,22,45,11,K578134
EX47,1999,27,46,7,K578135
O112,2000,26,50,9,K578162
SW125,2002,17,41,7,K578162
SW125,2003,26,47,10,K578162
EX42,1999,32,52,8,K578200
P12,1996,21,44,10,K578301
SW30,1996,31,48,6,K578303
O69,1996,30,49,5,K578305
O15,1996,27,49,8,K578306
SW121,1996,30,51,8,K578310
SW82,1996,29,51,10,K578313
O94,1996,31,52,8,K578314
EX84,1997,16,40,11,K578314
O27A,1996,32,53,8,K578316
O27,1997,25,52,7,K578316
P4,1996,31,54,10,K578318
SW110,1996,36,54,5,K578321
O73,1996,26,51,8,K578323
SW132,1996,30,53,8,K578326
SW134,1997,10,34,10,K578326
O47,1996,38,57,6,K578327
O80,1996,36,57,7,K578329
O77,1997,13,38,9,K578329
O77,1998,25,45,7,K578329
SW48,1996,38,64,6,K578331
EX51A,2001,33,55,10,K578422
EX41D,2001,38,54,4,K578431
SW105,1998,20,40,8,K578501
SW106,1999,13,36,7,K578501
SW82,1998,26,47,9,K578504
SW83,1999,10,35,8,K578504
O11,1998,27,48,6,K578511
SW131,1999,14,35,8,K578535
SW18,2000,20,42,9,K578535
O75A,1999,15,37,7,K578536
O75C,2000,22,43,9,K578536
O75C,2001,24,39,9,K578536
O10,1999,27,44,6,K578544
O72,1999,26,45,8,K578545
SW129,1999,27,45,7,K578547
SW29,2000,24,46,9,K578550
SW26,2001,31,50,8,K578550
SW122,1999,27,49,9,K578551
SW124,2000,23,48,7,K578551
SW124,2001,33,49,7,K578551
O105,1999,28,48,8,K578552
O105,2000,32,53,9,K578552
O33,1999,29,47,7,K578553
O6,1999,28,49,9,K578555
SW5,1999,33,51,7,K578558
SW114,2002,13,36,7,K578560
O63,2000,20,42,9,K578562
O64,2000,24,44,7,K578565
O67,2002,10,36,7,K578565
O107,2000,28,46,6,K578566
O106,2002,14,37,8,K578566
SW129,2000,27,43,7,K578570
SW130,2001,34,48,5,K578570
SW130,2002,13,33,6,K578570
O81,2000,21,45,9,K578571
O53,2000,30,48,4,K578572
O46,2000,35,47,4,K578575
O46,2001,27,53,4,K578575
SW75,2000,28,49,9,K578577
O19,2000,30,49,7,K578579
SW10,2000,26,49,9,K578582
P11,2000,30,51,8,K578584
P11,2002,14,35,11,K578584
P1,2000,32,51,7,K578585
SW47,2000,30,50,9,K578590
SW62,2000,31,52,6,K578591
MP79,2002,7,27,6,K578601
MP79,2003,15,34,4,K578601
MP79,2004,11,31,5,K578601
MP96,2002,8,32,9,K578603
B23,2002,12,33,7,K578605
B123,2004,16,38,8,K578605
B23,2005,16,37,7,K578605
B125,2006,22,44,9,K578605
B24,2007,15,37,10,K578605
MP89,2002,9,34,11,K578610
MP76,2002,8,33,9,K578612
MP55,2002,16,37,6,K578617
B25,2002,17,38,7,K578619
B89,2002,19,38,9,K578620
B92,2002,21,41,9,K578624
EX73A,2009,17,38,9,K578709
W26,2008,22,43,7,K578714
W22,2008,18,39,8,K578717
W22,2009,11,33,10,K578717
W22,2010,13,37,10,K578717
EX50,2009,16,37,10,K578718
W34,2008,32,51,8,K578725
EX25,2008,19,40,8,K578731
EX65,2009,11,35,10,K578732
EX43C,2010,12,38,11,K578732
MP42,2008,18,40,7,K578734
B98,2008,28,47,6,K578737
B18,2009,15,36,8,K578737
MP68,2009,5,28,9,K578738
MP62,2008,24,42,7,K578743
MP21,2008,22,44,9,K578745
MP52,2009,16,36,8,K578748
MP49,2010,21,41,9,K578748
MP79,2008,24,44,8,K578749
MP46,2009,19,38,8,K578749
B96,2008,26,45,6,K578765
EX5A,2007,18,38,10,K578927
EX5A,2008,23,45,10,K578927
O77,2003,19,40,9,K578953
O5,2003,24,46,7,K578960
SW20,2003,32,52,7,K578961
SW16,2004,18,42,11,K578961
SW16,2005,22,44,11,K578961
O6,2003,24,53,17,K578962
O71,2003,32,49,5,K578963
O61,2003,25,44,7,K578967
O76,2003,35,54,8,K578979
SW103,2003,33,56,6,K578980
MP89,1997,15,35,8,K604502
MP16,1998,30,49,8,K604502
MP20,1997,13,35,8,K604503
MP22,1998,29,50,9,K604503
MP34,1997,9,32,9,K604504
MP34,2000,11,38,10,K604504
MP78,1997,13,34,8,K604505
MP67,1999,10,34,8,K604505
MP68,2000,18,41,8,K604505
MP58,2001,29,50,5,K604505
MP9,1997,13,34,9,K604506
MP11,1998,22,45,9,K604506
MP9,1999,15,39,9,K604506
MP64,1997,10,32,8,K604507
MP10,1997,10,33,9,K604508
MP76,1997,15,38,10,K604511
MP79,1998,21,44,9,K604511
MP29,1997,19,40,7,K604513
MP34A,1998,26,43,6,K604513
MP60,1997,29,46,9,K604518
MP33,1998,24,46,11,K604543
MP53,1998,22,43,9,K604545
MP55,1999,12,38,9,K604545
MP62,1998,25,46,9,K604547
MP76,1998,24,46,9,K604549
MP75,1999,31,49,8,K604549
MP77,2000,18,42,8,K604549
MP77,2001,27,50,9,K604549
MP14,1999,21,41,9,K604550
MP17,2000,27,46,8,K604550
MP18,2002,11,37,10,K604550
MP28,2004,19,41,8,K604550
MP57,2000,25,49,10,K604566
MP63,2001,37,58,8,K604566
MP59,2002,16,38,8,K604566
MP73,2001,22,45,8,K604567
MP78,2003,13,37,9,K604567
MP76,2004,14,39,10,K604567
MP73,2005,17,41,8,K604567
MP60,1999,15,36,7,K604570
MP60,2000,21,41,9,K604570
MP60,2001,21,46,9,K604570
MP46,1999,12,38,10,K604571
MP49,2000,17,39,10,K604571
B112,1999,18,38,7,K604574
B34,2001,33,54,5,K604574
B136,2002,11,33,8,K604574
MP83,1999,20,41,8,K604576
MP16,1999,15,41,10,K604577
MP33,2000,12,38,12,K604577
MP33,2001,25,50,8,K604577
MP33,2002,7,33,11,K604577
MP78,1999,16,39,8,K604578
MP90,1999,22,44,10,K604579
MP62,1999,28,47,7,K604580
MP21,1999,27,48,11,K604582
MP13,1999,33,51,8,K604592
MP12,2002,20,40,9,K604592
MP89,2003,27,48,9,K604592
MP88,2004,16,39,11,K604592
EX70,2000,28,48,8,K604611
EX68,2001,32,50,6,K604611
EX68,2002,9,33,9,K604611
EX89,2000,35,57,9,K604640
EX91,2001,40,56,7,K604640
